"Address A","Port A","Address B","Port B","Packets","Bytes","Packets A → B","Bytes A → B","Packets B → A","Bytes B → A","Rel Start","Duration","Bits/s A → B","Bits/s B → A"
"172.20.0.2",57446,"172.20.0.3",5679,2,128,1,74,1,54,2.203888363,3.935300000001973e-05,0,0
"172.20.0.2",37558,"172.20.0.4",5679,2,128,1,74,1,54,2.203927386,2.709099999975706e-05,0,0
"172.20.0.2",37564,"172.20.0.4",5679,2,128,1,74,1,54,2.203948672,0.00013766999999997864,0,0
"172.20.0.2",57458,"172.20.0.3",5679,11,1216,6,647,5,569,3.094916664,0.04585212000000016,112884.63870372802,99275.67144114566
"172.20.0.2",37572,"172.20.0.4",5679,2,128,1,74,1,54,3.181808042,4.1052999999902084e-05,0,0
"172.20.0.2",57468,"172.20.0.3",5679,53,4138,32,2661,21,1477,3.190004217,16.991855836000003,1252.835488098829,695.3919638940137
"172.20.0.2",37584,"172.20.0.4",5679,11,1254,6,661,5,593,3.6008777800000003,0.054854670999999744,96400.1771152729,86483.06358450353
"172.20.0.2",37598,"172.20.0.4",5679,14,1181,8,699,6,482,4.180777009,0.007802550000000075,716688.7748236085,494197.4098211435
"172.20.0.2",57484,"172.20.0.3",5679,14,1181,8,699,6,482,5.182173852,0.006448317000000259,867203.0236726537,597985.489857252
"172.20.0.2",37602,"172.20.0.4",5679,14,1181,8,699,6,482,6.181147338,0.008304401000000183,673377.8872190634,464332.105349912
"172.20.0.2",57498,"172.20.0.3",5679,14,1181,8,699,6,482,7.180512885,0.007333259000000147,762553.1840618049,525823.511756495
"172.20.0.2",37604,"172.20.0.4",5679,41,3742,22,2160,19,1582,7.48952079,5.565561337,3104.8081143445675,2273.984461524586
"172.20.0.2",37606,"172.20.0.4",5679,26,2259,14,1192,12,1067,7.64161503,5.420210469,1759.3412754983556,1574.8465947623704
"172.20.0.2",37612,"172.20.0.4",5679,236,20317,152,13640,84,6677,7.74785452,13.636748422,8001.90753860048,3917.062803169751
"172.20.0.2",57508,"172.20.0.3",5679,201,17227,130,11657,71,5570,7.776109866,13.608318302,6852.86733675933,3274.4677932357786
"172.20.0.2",37616,"172.20.0.4",5679,535,46051,349,31282,186,14769,7.795101635,13.630493771,18360.009857635552,8668.211290436016
"172.20.0.2",57518,"172.20.0.3",5679,506,43542,334,29902,172,13640,7.808769287,13.617218381,17567.170717756588,8013.384007430936
"172.20.0.2",57532,"172.20.0.3",5679,37,3418,22,2194,15,1224,7.839043934,11.328273882000001,1549.397567787371,864.3858810263181
"172.20.0.2",37628,"172.20.0.4",5679,14,1181,8,699,6,482,8.181513796,0.009925722999998499,563384.6521810901,388485.5541506229
"172.20.0.2",57536,"172.20.0.3",5679,14,1181,8,699,6,482,9.183981428,0.005094071000000255,1097746.7726695838,756958.4326562795
"172.20.0.2",37638,"172.20.0.4",5679,32,2467,18,1479,14,988,9.186272236,12.114508904000001,976.6801191663063,652.4408098284724
"172.20.0.2",37648,"172.20.0.4",5679,14,1181,8,699,6,482,10.180498774,0.004461183000000091,0,0
"172.20.0.2",57550,"172.20.0.3",5679,34,3134,20,1811,14,1323,10.516021895,8.656252448000002,1673.7034977933672,1222.7000152295002
"172.20.0.2",37658,"172.20.0.4",5679,11,825,6,460,5,365,10.627598264,0.008042521000000136,457567.9690485033,363070.23631022545
"172.20.0.2",57552,"172.20.0.3",5679,11,825,6,460,5,365,10.630474649,0.004887895999999614,0,0
"172.20.0.2",54316,"172.20.0.3",5679,14,1181,8,699,6,482,11.179932154,0.003726088000000516,0,0
"172.20.0.2",38148,"172.20.0.4",5679,14,1181,8,699,6,482,12.18002064,0.004045446999999314,0,0
"172.20.0.2",54326,"172.20.0.3",5679,14,1183,8,700,6,483,13.19695514,0.005061639999999201,1106360.784251919,763388.9411338242
"172.20.0.2",38156,"172.20.0.4",5679,14,1183,8,700,6,483,14.187135678,0.09511858800000006,58873.87647091646,40622.974764932354
"172.20.0.2",54330,"172.20.0.3",5679,14,1183,8,700,6,483,15.179949302,0.006505737999999539,860778.5926823977,593937.2289508544
"172.20.0.2",38168,"172.20.0.4",5679,14,1183,8,700,6,483,16.179774089,0.0033243939999998418,0,0
"172.20.0.2",54332,"172.20.0.3",5679,14,1183,8,700,6,483,17.18004631,0.003794461999998333,0,0
"172.20.0.2",45732,"172.20.0.5",9876,14,1470,7,742,7,728,17.613949973,1.6963528940000003,3499.2718914770803,3433.2478935246822
"172.20.0.2",38182,"172.20.0.4",5679,14,1183,8,700,6,483,18.179554687,0.0029556210000016847,0,0
"172.20.0.2",45736,"172.20.0.5",9876,6,418,3,212,3,206,19.179493264,0.13079946099999873,12966.414288205793,12599.44029891695
"172.20.0.2",38192,"172.20.0.4",5679,14,1128,8,702,6,426,19.314054501,0.009691474000000255,579478.4157703825,351649.2950401467
"172.20.0.2",54336,"172.20.0.3",5679,14,1128,8,702,6,426,19.316544483,0.007133387999999741,787283.6862371995,477753.3480584715
"172.20.0.2",45746,"172.20.0.5",9876,2,128,1,74,1,54,19.963194444,7.265800000055833e-05,0,0
"172.20.0.2",54344,"172.20.0.3",5679,14,1183,8,700,6,483,20.179927202000002,0.0031108679999967137,0,0
"172.20.0.2",34650,"172.20.0.4",5679,14,1183,8,700,6,483,21.179859102,0.12096612399999884,46293.95251186236,31942.827233185028
"172.20.0.2",55540,"172.20.0.5",9876,2,128,1,74,1,54,21.531635001,4.33309999969822e-05,0,0
"172.20.0.3",40336,"172.20.0.4",5679,2,128,1,74,1,54,2.9853374390000003,4.249199999950548e-05,0,0
"172.20.0.3",44024,"172.20.0.2",5679,14,1180,8,637,6,543,2.985316134,0.11484047499999983,44374.59876406822,37826.3848177222
"172.20.0.3",40338,"172.20.0.4",5679,2,128,1,74,1,54,2.985339785,4.6345000000336256e-05,0,0
"172.20.0.3",44028,"172.20.0.2",5679,11,1216,6,647,5,569,3.136421803,0.03137555199999964,164969.20914730232,145081.112835881
"172.20.0.3",44034,"172.20.0.2",5679,23,1925,12,1112,11,813,3.238022936,5.270935272999999,1687.7460145582027,1233.936609564585
"172.20.0.3",40344,"172.20.0.4",5679,11,1242,6,661,5,581,3.599705621,0.054886320000000044,96344.59005449802,84684.12529752398
"172.20.0.3",40352,"172.20.0.4",5679,14,1181,8,699,6,482,3.95529847,0.01110539800000021,503538.9096365474,347218.53282520146
"172.20.0.3",44044,"172.20.0.2",5679,54,4161,30,2493,24,1668,3.9613883100000002,16.995915369,1173.45842027298,785.12982150635
"172.20.0.3",44046,"172.20.0.2",5679,14,1181,8,699,6,482,4.955708551,0.008942906999999778,625300.0282794106,431179.70476491546
"172.20.0.3",40368,"172.20.0.4",5679,26,1969,14,1133,12,836,4.960465853,12.997439548000003,697.3681213539273,514.5628856592085
"172.20.0.3",40372,"172.20.0.4",5679,14,1181,8,699,6,482,5.955867194,0.009716850000000221,575495.1450315558,396836.4233264805
"172.20.0.3",40382,"172.20.0.4",5679,11,827,6,462,5,365,6.554591846,0.012875712999999678,287052.06461188535,226783.557539693
